170	94.6704
175	97.1511
180	100.33
185	98.4726
190	103.451
195	101.793
200	105.446
50	4335.43
50	5051.21
50	4739.06
50	5135.17
50	3637.53
50	4753.77
50	4617.26
50	4712.3
50	4703.73
50	5012.03
50	5555.11
50	9892.53
50	14182.2
50	22574
50	280801
50	23777.5
50	4733.95
50	4671.62
50	4032.91
50	3968.76
50	4176.85
50	5461.12
50	6617.78
50	6077.34
50	8785.23
50	8304.76
50	8010.58
50	6446.48
50	9006.74
50	8701.68
50	8849.11
50	8638.08
50	6919.18
50	8007.13
50	8887.57
50	14543.1
50	8463.91
50	15466
