4.5e-19	1.5993e-21	-2.60979e-23	1.62539e-21
1.8e-13	1.5993e-21	-5.00555e-23	1.64935e-21
3.6e-13	1.5993e-21	-9.97495e-23	1.69905e-21
5.4e-13	1.5993e-21	-2.04959e-22	1.80426e-21
7.2e-13	1.5993e-21	-4.27517e-22	2.02681e-21
9e-13	1.5993e-21	-8.42128e-22	2.44142e-21
1.08e-12	1.60105e-21	-7.8282e-22	2.38387e-21
1.26e-12	1.59929e-21	-9.92249e-22	2.59154e-21
1.44e-12	1.59929e-21	-5.99306e-22	2.1986e-21
1.62e-12	1.59929e-21	-2.89361e-22	1.88865e-21
1.8e-12	1.59929e-21	-1.67308e-22	1.7666e-21
1.98e-12	1.59929e-21	-1.16118e-22	1.71541e-21
2.16e-12	1.59929e-21	-7.68689e-23	1.67616e-21
2.34e-12	1.59929e-21	-4.93602e-23	1.64865e-21
2.52e-12	1.59929e-21	-3.12227e-23	1.63052e-21
2.7e-12	1.59929e-21	-1.96953e-23	1.61899e-21
2.88e-12	1.59929e-21	-1.24985e-23	1.61179e-21
3.06e-12	1.59929e-21	-8.02493e-24	1.60732e-21
3.24e-12	1.59929e-21	-5.23076e-24	1.60452e-21
3.42e-12	1.59929e-21	-3.46712e-24	1.60276e-21
3.6e-12	1.59918e-21	-2.97121e-24	1.60216e-21
3.78e-12	1.59918e-21	-3.02609e-24	1.60221e-21
3.96e-12	1.59918e-21	-3.18399e-24	1.60237e-21
4.14e-12	1.59918e-21	-3.75643e-24	1.60294e-21
4.32e-12	1.59918e-21	-4.41453e-24	1.6036e-21
4.5e-12	1.59918e-21	-6.68396e-24	1.60587e-21
4.68e-12	1.59918e-21	-1.04932e-23	1.60968e-21
4.86e-12	1.59918e-21	-1.67729e-23	1.61596e-21
5.04e-12	1.59918e-21	-2.72102e-23	1.62639e-21
5.22e-12	1.59918e-21	-4.4543e-23	1.64373e-21
5.4e-12	1.59918e-21	-7.29233e-23	1.67211e-21
5.58e-12	1.59918e-21	-1.17938e-22	1.71712e-21
5.76e-12	1.59918e-21	-1.85721e-22	1.78491e-21
5.94e-12	1.59918e-21	-2.80869e-22	1.88005e-21
6.12e-12	1.59918e-21	-4.04042e-22	2.00323e-21
6.3e-12	1.59918e-21	-5.50322e-22	2.14951e-21
6.48e-12	1.59918e-21	-7.05845e-22	2.30503e-21
6.66e-12	1.59918e-21	-8.3899e-22	2.43817e-21
6.84e-12	1.59918e-21	-9.06625e-22	2.50581e-21
7.02e-12	1.59918e-21	-8.91553e-22	2.49074e-21
7.2e-12	1.59918e-21	-7.9622e-22	2.3954e-21
7.38e-12	1.59918e-21	-6.49937e-22	2.24912e-21
7.56e-12	1.59918e-21	-4.9526e-22	2.09444e-21
7.74e-12	1.59918e-21	-3.56354e-22	1.95554e-21
7.92e-12	1.59918e-21	-2.43089e-22	1.84227e-21
8.1e-12	1.59918e-21	-2.94459e-22	1.89364e-21
8.28e-12	1.59918e-21	-4.48439e-22	2.04762e-21
8.46e-12	1.59918e-21	-7.39821e-22	2.339e-21
8.64e-12	1.60093e-21	-9.4859e-22	2.54952e-21
8.82e-12	1.60093e-21	-8.0081e-22	2.40174e-21
9e-12	1.59918e-21	-8.19332e-22	2.41851e-21
9.18e-12	1.59918e-21	-4.93192e-22	2.09237e-21
9.36e-12	1.59918e-21	-3.18551e-22	1.91773e-21
9.54e-12	1.59918e-21	-2.21128e-22	1.8203e-21
9.72e-12	1.59918e-21	-2.138e-22	1.81298e-21
9.9e-12	1.59918e-21	-2.10891e-22	1.81007e-21
1.008e-11	1.59918e-21	-2.12061e-22	1.81124e-21
1.026e-11	1.59917e-21	-2.68295e-22	1.86747e-21
1.044e-11	1.59917e-21	-6.17931e-22	2.21711e-21
1.062e-11	1.60093e-21	-8.91996e-22	2.49293e-21
1.08e-11	1.60092e-21	-8.88713e-22	2.48963e-21
